Step,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate__MIN,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate__MAX,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate__MIN,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate__MAX,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate__MIN,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate__MAX
1,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
2,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.015625,0.015625,0.015625
3,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
4,0.1875,0.1875,0.1875,0.109375,0.109375,0.109375,0.265625,0.265625,0.265625
5,0.109375,0.109375,0.109375,0.171875,0.171875,0.171875,0.3125,0.3125,0.3125
6,0.078125,0.078125,0.078125,0.09375,0.09375,0.09375,0.203125,0.203125,0.203125
7,0.0625,0.0625,0.0625,0.109375,0.109375,0.109375,0.53125,0.53125,0.53125
8,0.109375,0.109375,0.109375,0.140625,0.140625,0.140625,0.46875,0.46875,0.46875
9,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.515625,0.515625,0.515625
10,0.15625,0.15625,0.15625,0.109375,0.109375,0.109375,0.515625,0.515625,0.515625
11,0.203125,0.203125,0.203125,0.234375,0.15625,0.3125,0.578125,0.578125,0.578125
12,0.21875,0.21875,0.21875,0.1328125,0.109375,0.15625,0.46875,0.46875,0.46875
13,0.171875,0.171875,0.171875,0.15625,0.109375,0.203125,0.546875,0.546875,0.546875
14,0.296875,0.296875,0.296875,0.2421875,0.1875,0.296875,0.703125,0.703125,0.703125
15,0.21875,0.21875,0.21875,0.15625,0.140625,0.171875,0.640625,0.640625,0.640625
16,0.375,0.375,0.375,0.203125,0.09375,0.3125,0.546875,0.546875,0.546875
17,0.375,0.375,0.375,0.2421875,0.15625,0.328125,0.59375,0.59375,0.59375
18,0.4375,0.4375,0.4375,0.1875,0.1875,0.1875,0.71875,0.71875,0.71875
19,0.453125,0.453125,0.453125,0.1875,0.1875,0.1875,0.609375,0.609375,0.609375
20,0.390625,0.390625,0.390625,0.203125,0.203125,0.203125,0.5625,0.5625,0.5625
21,0.3125,0.3125,0.3125,0.296875,0.296875,0.296875,0.703125,0.703125,0.703125
22,0.5,0.5,0.5,0.375,0.375,0.375,0.78125,0.78125,0.78125
23,0.484375,0.484375,0.484375,0.265625,0.265625,0.265625,0.78125,0.78125,0.78125
24,0.5625,0.5625,0.5625,0.453125,0.453125,0.453125,0.765625,0.765625,0.765625
25,0.46875,0.46875,0.46875,0.359375,0.359375,0.359375,0.765625,0.765625,0.765625
26,0.484375,0.484375,0.484375,0.28125,0.28125,0.28125,0.53125,0.53125,0.53125
27,0.546875,0.546875,0.546875,0.234375,0.234375,0.234375,0.65625,0.65625,0.65625
28,0.65625,0.65625,0.65625,0.421875,0.421875,0.421875,0.8125,0.8125,0.8125
29,0.703125,0.703125,0.703125,0.40625,0.40625,0.40625,0.71875,0.71875,0.71875
30,0.828125,0.828125,0.828125,0.328125,0.328125,0.328125,0.75,0.75,0.75
31,0.765625,0.765625,0.765625,0.34375,0.34375,0.34375,0.71875,0.71875,0.71875
