Step,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate__MIN,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate__MAX,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate__MIN,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate__MAX,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate__MIN,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate__MAX
1,0.265625,0.265625,0.265625,0.265625,0.265625,0.265625,0.15625,0.15625,0.15625
2,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.40625,0.40625,0.40625
3,0.28125,0.28125,0.28125,0.1875,0.1875,0.1875,0.46875,0.46875,0.46875
4,0.375,0.375,0.375,0.359375,0.359375,0.359375,0.4375,0.4375,0.4375
5,0.375,0.375,0.375,0.296875,0.296875,0.296875,0.25,0.25,0.25
6,0.421875,0.421875,0.421875,0.3125,0.3125,0.3125,0.53125,0.53125,0.53125
7,0.21875,0.21875,0.21875,0.359375,0.359375,0.359375,0.28125,0.28125,0.28125
8,0.375,0.375,0.375,0.296875,0.296875,0.296875,0.3125,0.3125,0.3125
9,0.375,0.375,0.375,0.3125,0.3125,0.3125,0.34375,0.34375,0.34375
10,0.453125,0.453125,0.453125,0.421875,0.421875,0.421875,0.375,0.375,0.375
11,0.40625,0.40625,0.40625,0.328125,0.328125,0.328125,0.25,0.25,0.25
12,0.484375,0.484375,0.484375,0.390625,0.390625,0.390625,0.5625,0.5625,0.5625
