"Step","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate__MIN","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate__MAX","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate__MIN","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate__MAX","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate__MIN","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate__MAX"
"1","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125"
"2","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.1875","0.1875","0.1875"
"3","0.171875","0.171875","0.171875","0.15625","0.15625","0.15625","0.1875","0.1875","0.1875"
"4","0.140625","0.140625","0.140625","0.1875","0.1875","0.1875","0.28125","0.28125","0.28125"
"5","0.109375","0.109375","0.109375","0.15625","0.15625","0.15625","0.125","0.125","0.125"
"6","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625"
"7","0.109375","0.109375","0.109375","0.28125","0.28125","0.28125","0.15625","0.15625","0.15625"
"8","0.171875","0.171875","0.171875","0.265625","0.265625","0.265625","0.3125","0.3125","0.3125"
"9","0.109375","0.109375","0.109375","0.4375","0.4375","0.4375","0.21875","0.21875","0.21875"
"10","0.078125","0.078125","0.078125","0.453125","0.453125","0.453125","0.1875","0.1875","0.1875"
"11","0.15625","0.15625","0.15625","0.5","0.5","0.5","0.125","0.125","0.125"
"12","0.09375","0.09375","0.09375","0.640625","0.640625","0.640625","0.28125","0.28125","0.28125"
"13","0.03125","0.03125","0.03125","0.578125","0.578125","0.578125","0.25","0.25","0.25"
"14","0.203125","0.203125","0.203125","0.78125","0.78125","0.78125","0.28125","0.28125","0.28125"
"15","0.140625","0.140625","0.140625","0.640625","0.640625","0.640625","0.1875","0.1875","0.1875"
"16","0.046875","0.046875","0.046875","0.703125","0.703125","0.703125","0.0625","0.0625","0.0625"
"17","0.28125","0.28125","0.28125","0.671875","0.671875","0.671875","0.28125","0.28125","0.28125"
"18","0.203125","0.203125","0.203125","0.6875","0.6875","0.6875","0.0625","0.0625","0.0625"
"19","0.25","0.25","0.25","0.8125","0.8125","0.8125","0.09375","0.09375","0.09375"
"20","0.234375","0.234375","0.234375","0.5625","0.5625","0.5625","0.15625","0.15625","0.15625"
"21","0.203125","0.203125","0.203125","0.765625","0.765625","0.765625","0.296875","0.28125","0.3125"
"22","0.15625","0.15625","0.15625","0.671875","0.671875","0.671875","0.140625","0.125","0.15625"
"23","0.171875","0.171875","0.171875","0.828125","0.828125","0.828125","0.34375","0.28125","0.40625"
"24","0.21875","0.21875","0.21875","0.734375","0.734375","0.734375","0.25","0.21875","0.28125"
"25","0.109375","0.109375","0.109375","0.921875","0.921875","0.921875","0.453125","0.40625","0.5"
"26","0.21875","0.21875","0.21875","0.84375","0.84375","0.84375","0.359375","0.34375","0.375"
"27","0.34375","0.34375","0.34375","0.84375","0.84375","0.84375","0.328125","0.25","0.40625"
"28","0.609375","0.609375","0.609375","0.71875","0.71875","0.71875","0.453125","0.34375","0.5625"
"29","0.328125","0.328125","0.328125","0.90625","0.90625","0.90625","0.53125","0.53125","0.53125"
"30","0.484375","0.484375","0.484375","0.921875","0.921875","0.921875","0.3125","0.3125","0.3125"
"31","0.546875","0.546875","0.546875","0.875","0.875","0.875","0.4375","0.4375","0.4375"
"32","0.453125","0.453125","0.453125","0.9375","0.9375","0.9375","0.65625","0.65625","0.65625"
"33","0.390625","0.390625","0.390625","0.84375","0.84375","0.84375","0.46875","0.46875","0.46875"
"34","0.359375","0.359375","0.359375","0.78125","0.78125","0.78125","0.46875","0.46875","0.46875"
"35","0.46875","0.46875","0.46875","0.921875","0.921875","0.921875","0.40625","0.40625","0.40625"
"36","0.578125","0.578125","0.578125","0.828125","0.828125","0.828125","0.65625","0.65625","0.65625"
"37","0.5","0.5","0.5","0.625","0.625","0.625","0.625","0.625","0.625"
"38","0.515625","0.515625","0.515625","0.875","0.875","0.875","0.46875","0.46875","0.46875"
"39","0.71875","0.71875","0.71875","0.75","0.75","0.75","0.46875","0.46875","0.46875"
"40","0.734375","0.734375","0.734375","0.71875","0.71875","0.71875","0.59375","0.59375","0.59375"
"41","0.640625","0.640625","0.640625","0.78125","0.78125","0.78125","0.53125","0.53125","0.53125"
"42","0.84375","0.84375","0.84375","0.765625","0.765625","0.765625","0.46875","0.46875","0.46875"
