Step,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate__MIN,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate__MAX,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate__MIN,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate__MAX,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate__MIN,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate__MAX
1,0.203125,0.203125,0.203125,0.203125,0.203125,0.203125,0.234375,0.234375,0.234375
2,0.21875,0.21875,0.21875,0.1875,0.1875,0.1875,0.25,0.25,0.25
3,0.171875,0.171875,0.171875,0.21875,0.21875,0.21875,0.296875,0.296875,0.296875
4,0.234375,0.234375,0.234375,0.25,0.25,0.25,0.328125,0.328125,0.328125
5,0.3125,0.3125,0.3125,0.1875,0.1875,0.1875,0.359375,0.359375,0.359375
6,0.21875,0.21875,0.21875,0.265625,0.265625,0.265625,0.421875,0.421875,0.421875
7,0.25,0.25,0.25,0.265625,0.265625,0.265625,0.4375,0.4375,0.4375
8,0.1875,0.1875,0.1875,0.21875,0.21875,0.21875,0.515625,0.515625,0.515625
9,0.28125,0.28125,0.28125,0.25,0.25,0.25,0.453125,0.453125,0.453125
10,0.328125,0.328125,0.328125,0.28125,0.28125,0.28125,0.578125,0.578125,0.578125
11,0.34375,0.34375,0.34375,0.28125,0.28125,0.28125,0.359375,0.359375,0.359375
12,0.328125,0.328125,0.328125,0.3125,0.3125,0.3125,0.546875,0.546875,0.546875
13,0.328125,0.328125,0.328125,0.3125,0.3125,0.3125,0.515625,0.515625,0.515625
